Рацион;Масляная;Капроновая;Каприловая;Каприновая;Деценовая;Лауриновая;Миристиновая;Миристолеиновая;Пальмитиновая;Пальмитолеиновая;Стеариновая;Олеиновая;Линолевая;Линоленовая;Арахиновая
Отчет_ОМ Север ЖК Подболотье Д1 02.04.2025_ОМС;3.05;2.07;1.31;3.33;0.25;4.14;11.02;1.07;32.12;2.31;8.24;23.38;2.61;0.37;0.11
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 раздой_ОМШ;3.07;2.04;1.28;3.4;0.26;4.32;11.7;1.18;34.56;2.36;6.74;21.11;2.61;0.35;0.1
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 раздой_ОМШ;3.14;2.1;1.31;3.29;0.24;4.06;11.15;1.04;34.49;2.29;7.32;21.6;2.5;0.35;0.11
Отчет_ОМ Север ЖК Шацк Д2 28.01.25_ОМШ;3;2.04;1.34;3.49;0.28;4.5;11.63;1.22;31.89;2.34;8.3;21.82;2.5;0.4;0.13
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 стельные_ОМШ;3;2.02;1.28;3.43;0.27;4.43;11.99;1.28;33.4;2.42;6.93;21.28;2.71;0.39;0.1
 Отчет_ОМ Север ЖК Шацк Д0 28.01.25_ОМШ;4.03;1.79;0.89;1.69;<0,05;1.74;6.2;0.36;23.85;2.48;14.55;34.6;2.68;0.4;0.14
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 раздой_ОМШ;3.3;2.19;1.28;3.2;0.23;3.91;10.74;1.13;35.72;2.53;6.67;21.53;2.47;0.3;0.1
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 раздой_ОМШ;3.23;2.19;1.28;3.14;0.24;3.86;10.53;1.07;37.51;2.47;6.47;20.35;2.37;0.3;0.1
Отчет_ОМ Север ЖК Шацк Д2 28.01.25_ОМШ;3.21;2.19;1.34;3.39;0.27;4.25;11.33;1.26;34.61;2.43;6.72;20.88;2.48;0.33;0.11
Отчет_ОМ Шацк ЖК Шацк Д1 15.04.25 стельные_ОМШ;3.26;2.3;1.4;3.47;0.3;4.3;11.33;1.28;31.91;2.49;7.92;22.16;2.54;0.38;0.12
Отчет_ОМ Север ЖК Шацк Д0 28.01.25_ОМШ;4.38;2.06;0.99;1.93;<0,05;2.07;7.28;0.48;27.48;2.46;12.91;30.9;2.47;0.32;0.13
Рацион Д1 ЖК Песковатка 25.02.25_ЭНАС;3.27;2.15;1.33;3.29;0.27;4;11.2;1.04;34.28;2.16;8.35;21.17;2.32;0.47;0.12
Рацион Д1 ЖК Песковатка 26.06.25_ЭНАС;3.26;2.21;1.31;3.14;0.24;3.82;10.93;1.09;33.3;2.23;8.66;22.19;2.5;0.39;0.12
Отчет_Д1 ЖК Петровское 25.02.2025_ЭНАПБ;3.17;2.09;1.3;3.27;0.28;4.03;11.26;1.13;32.67;2.24;8.33;22.6;2.44;0.44;0.11
Отчет_Д1 ЖК Петровское 21.05.2025_ЭНАПБ;3.58;2.37;1.38;3.33;0.24;4;11.11;1.04;33.53;2.21;8.12;21.45;2.61;0.38;0.1
ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ;3.04;2.1;1.36;3.49;0.31;4.35;11.59;1.17;31.17;2.1;8.48;22.76;2.63;0.46;0.14
ЖК Петропавловка Д1 (КК-11) 26.06.25_ЭНАВ;3.44;2.33;1.41;3.52;0.24;4.25;11.36;1.04;33.12;2.03;8.31;21.15;2.59;0.46;0.12
ЖК Петропавловка Д0 (КК-11) 12.03.25_ЭНАВ;3.44;2.12;1.24;2.88;0.19;3.31;9.8;0.75;30.3;2.09;10.86;25.57;2.46;0.41;0.14
ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ;3.16;2.07;1.28;3.14;0.26;3.79;10.62;1;32.22;2.07;9.41;23.22;2.49;0.41;0.14
ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ;3.18;2.11;1.3;3.26;0.25;3.91;10.93;0.95;31.95;2.15;9.16;23.35;2.55;0.41;0.13
ЖК Петропавловка Д1 (КК-10) 12.03.25_ЭНАВ;3.08;2.1;1.35;3.47;0.31;4.32;11.83;1.22;31.66;2.11;7.94;22.4;2.69;0.5;0.13
ЖК Петропавловка Д1 (КК-10) 12.03.25_ЭНАВ;3.06;2.1;1.37;3.55;0.31;4.45;11.91;1.24;31.8;2.12;7.97;22.03;2.67;0.46;0.13
Отчет_ОМ Север ЖК Шацк Д1 22.05.25_раздой_ОМШ;3.32;2.18;1.31;3.18;0.24;3.96;10.86;1.21;32.66;2.53;7.06;23.18;2.84;0.36;0.09
Отчет_ОМ Север ЖК Шацк Д1 22.05.25_раздой_ОМШ;3.26;2.15;1.28;3.15;0.21;3.94;10.81;1.06;33.31;2.44;7.47;22.72;2.81;0.35;0.1
Отчет_ОМ Север ЖК Шацк Д1 22.05.25_стельные_ОМШ;2.99;2.04;1.26;3.17;0.26;4.01;10.89;1.23;31.48;2.41;7.82;23.48;3.03;0.42;0.12
Отчет_ОМ Север ЖК Шацк Д1 22.05.25_стельные_ОМШ;3.17;2.16;1.33;3.34;0.28;4.24;11.54;1.32;33.1;2.52;6.55;21.73;2.88;0.4;0.1
Отчет_ОМ Север ЖК Шацк Д0 28.01.25_ОМШ;4.43;2.2;1.09;2.07;0.08;2.18;7.13;0.5;25.54;2.66;12.35;32.19;2.62;0.35;0.12
Д1 ЖК Пеневичи 20.06.2025;3.43;2.25;1.34;3.17;0.26;3.8;10.8;1.07;31.93;2.14;8.96;22.85;2.52;0.35;0.12
Отчет_Д1 Аристово 18.06.25_КНВ;2.66;1.95;1.31;3.31;-;3.98;11.84;1.12;31.97;1.8;9.72;23.27;3.06;0.43;0.16
Отчет_ЖК Богданино Д1 18.06.25_v1_КНЮ;2.64;2;1.38;3.61;-;4.4;12.61;1.23;31.99;2.03;8.79;21.52;3.03;0.41;0.16
Отчет_Д2 Болдасовка 18.06.25_КНВ;2.53;1.87;1.28;3.2;-;3.89;11.98;1.27;29.84;1.74;9.6;25.5;3.22;0.44;0.17
Отчет_Д1 Сугоново  18.06.25_КНВ.;2.66;1.95;1.31;3.31;-;3.98;11.84;1.12;31.97;1.8;9.72;23.27;3.06;0.43;0.16
Отчет_Д1 МТФ  Романово 18.06.25 _КНЗ;2.64;2.05;1.41;3.63;-;4.39;12.47;1.2;31.99;1.77;9;21.84;3.09;0.44;0.17
ЖК Петропавловка Д3 (КК-10) 12.03.25_ЭНАВ;3.11;2.01;1.23;2.99;0.27;3.67;10.98;1.15;30.97;2.39;8.52;24.92;2.4;0.47;0.14
Рацион Д1 ЖК Старая Чигла 26.06.25_ЭНАС;3.29;2.19;1.33;3.21;0.22;3.9;11.23;1.1;33.08;2.19;8.05;22.18;2.65;0.45;0.11
Отчет_Д1 ЖК Щучье 25.02.2025_ЭНАПБ;3.39;2.13;1.33;3.25;0.25;3.95;11.54;0.94;30.13;1.99;8.89;24.58;2.28;0.44;0.13
Отчет_Д1 ЖК Щучье 21.05.2025_ЭНАПБ;3.93;2.48;1.39;3.26;0.23;3.85;11.8;0.87;33.64;2.02;8.3;21.04;2.1;0.39;0.12
Рацион мтф высокое 25.02.25_ЭНАЛБ;3.38;2.11;1.25;2.85;0.27;3.36;10.49;1.02;32.34;2.06;9.78;24.28;2.13;0.38;0.16
Рацион мтф высокое 26.06.25_ЭНАЛБ;3.6;2.23;1.25;2.74;0.23;3.22;10.29;0.97;31.08;2.01;9.91;25.23;2.27;0.43;0.15
Рацион  ДРАКИНО 21.05.25_ЭНАЛБ;3.53;2.29;1.32;3.05;0.26;3.62;10.54;1.09;29.25;1.94;9.88;25.71;2.43;0.5;0.16
МТФ Петропавловка Д3 (КК-10) 26.06.25_ЭНАВ;3.28;2.03;1.11;2.54;0.2;3.05;9.82;0.96;33.21;2.44;8.64;24.81;1.71;0.65;0.15
Рацион  МТФ САДОВОЕ 26.06.25_ЭНАЛБ;3.29;2.12;1.2;2.83;0.24;3.44;10.73;1.1;32.27;2.31;9.12;23.91;1.83;0.57;0.14
Рацион Д2 Хворостань 21.05.25_ЭНАЛБ;3.39;2.12;1.19;2.69;0.26;3.15;10.42;1.14;29.06;2.19;10.52;26.95;1.9;0.3;0.18
Рацион МТФ Щучье 26.06.2025_ЭНАПБ;3.33;2.02;1.16;2.64;0.19;3.15;10.05;0.95;28.54;2.27;9.98;27.85;2.27;0.43;0.14
Отчет_Д1 Аристово 11.07.25_КНВ;3.61;2.26;1.34;3.13;0.2;3.59;10.47;0.88;29.08;2.02;10.69;22.83;2.65;0.46;0.14
Отчет_ЖК Богданино Д1 11.07.25_v2_КНЮ;3.36;2.14;1.29;3.24;0.21;3.89;11.03;0.99;32.5;2.26;8.9;22.57;2.42;0.33;0.11
Отчет_Д2 Болдасовка 18.06.25_КНВ;3.28;2.2;1.36;3.36;0.27;4.06;11.13;1.27;27.82;2.25;8.35;26.23;2.99;0.41;0.12
Отчет_ЖК Бушовка Д1 11.07.2025_v3_КНЮ;3.22;2.17;1.4;3.64;0.24;4.53;11.81;1.13;33.24;2.2;7.75;20.47;2.68;0.37;0.11
Отчет_Д1 Сугоново 11.07.25_КНВ;3.46;2.28;1.38;3.36;0.21;3.98;10.89;0.97;29.84;2.08;9.89;23.96;2.63;0.41;0.13
Отчет_Д1 МТФ Романово 11.07.25 _КНЗ;3.2;2.2;1.39;3.57;0.25;4.34;11.23;1.04;28.11;2.01;10.38;23.67;2.79;0.49;0.15
Семено Макарово Д1_23.07.2025_СНБ;3.36;2.17;1.31;3.32;0.24;4.12;11.41;1.21;34.6;2.59;6.78;20.89;2.22;0.39;0.1
Д1 Курская Васильевка 23.07.25v1_СНО;3.25;2.12;1.26;3.24;0.22;4.08;11.2;1.18;33.08;2.54;7.59;22.16;2.44;0.41;0.11
Д1_Старое резяпкино_23.07.25_V2_СНС;3.3;2.1;1.24;2.96;0.18;3.54;10.23;0.98;31.19;2.49;8.39;23.23;2.57;0.52;0.12
ЖК Наратлы Д1 от 23.07.25_СНТ;3.14;2.1;1.28;3.3;0.21;4.12;11.15;1.23;33.06;2.49;7.17;22.38;2.5;0.36;0.1
Отчет_Д1 МТФ Романово (24.04.24)_КНЗ;2.95;2.29;1.34;3.14;0.258;3.57;10.78;0.994;32.16;2.05;8.98;22.81;2.61;0.454;0.131
Отчет_Д1 Сугоново 14.04.25_КНВ;2.4;1.8;1.2;3.1;н/д;3.8;10.6;1;31.6;2;9;23;3;0.4;0.15
Отчет_Д1 Уланово 14.04.24_КНЗ;2.5;1.8;1.2;3;н/д;3.6;10.5;1;31.2;1.9;9;23.6;3.1;0.4;0.07
Отчет_Д1 Гусево  (14.04.24)_КНЗ;2.5;1.9;1.3;3.4;н/д;4.3;11.3;1.2;31.6;1.8;8;21.4;3.4;0.4;0.12
Отчет_Д1 Аристово 14.04.25_КНВ;2.3;1.8;1.2;3.1;н/д;3.9;10.9;1.1;31;1.9;9.2;23;3;0.5;0.15
Отчет_ЖК Богданино Д1 14.04.25_v1_КНЮ;2.4;1.9;1.3;3.3;н/д;4;11.7;1.1;33.6;2;8.2;20.3;2.7;0.3;0.13
Отчет_ЖК Бушовка Д1 14.04.2025_v1_КНЮ;2.3;1.9;1.3;3.3;н/д;4;11.9;1.1;32.7;1.9;8.3;20.8;3;0.4;0.15
Гилево Д1 25.07.25_АФМ;3.25;2.9;1.6;2.47;-;3.5;10.1;0.9;29.12;2.1;10.15;26.3;3.9;-;0.06
Плеханово Д1 25.07.25_АФМ;3.23;2.8;1.64;2.31;-;3.78;10.12;0.9;29.1;2.05;10.11;26.2;3.81;-;0.06
Отчет_Д1 Уланово 14.04.24_КНЗ;2.78;2.36;1.5;3.84;0.338;4.57;12.08;1.26;31.6;1.94;7.46;19.98;3.3;0.537;0.129
Отчет_Д1 Гусево  (14.04.24)_КНЗ;3.07;2.57;1.58;3.86;0.318;4.29;12.25;1.12;32.13;1.78;8.24;19.82;2.79;0.434;0.126
